,Shortest,Common,Jaccard,PA1,PA2,katz
"(40963, 40966)",0.0,0,0,0.0,0.015258698535195715,-100
"(4544, 49357)",0.0,0,0,0.0,0.016021633461955502,-100
"(38726, 38760)",0.043478260869565216,1,144,0.3459762562611936,0.03210678982432298,-100
"(4636, 38678)",0.0,0,11,0.0,0.02207536693245965,-100
"(26789, 5842)",0.0,0,0,0.0,0.015258698535195715,-100
"(38192, 38180)",0.0,0,266,0.0,0.03521635169807852,-100
"(38628, 38631)",0.03571428571428571,1,198,0.36926937306885504,0.020079627117271293,-100
"(38736, 38670)",0.0,0,117,0.0,0.030318605220005047,-100
"(21660, 38187)",0.047619047619047616,1,120,0.40242960438184466,0.023473251407904912,-2
"(38667, 38624)",0.08333333333333333,2,169,0.6867643245600952,0.0302289393091068,-100
"(923, 4262)",0.0,0,2,0.0,0.01678456838871529,-100
"(36777, 36779)",0.0,0,0,0.0,0.015258698535195715,-100
"(11082, 11089)",0.0,0,0,0.0,0.01609792695463148,-100
"(7994, 38696)",0.0,0,15,0.0,0.025357205196542745,-100
"(37992, 38262)",0.0,0,84,0.0,0.029237251467038827,-3
"(38028, 8572)",0.0,0,112,0.0,0.023725409396757047,-100
"(38623, 38751)",0.0,0,306,0.0,0.035964225366232803,-100
"(48590, 38664)",0.0,0,16,0.0,0.019647863168844763,-100
"(25898, 25906)",0.0,0,0,0.0,0.015258698535195715,-100
"(29937, 38219)",0.0,0,17,0.0,0.03175507303130014,-100
"(38542, 8620)",0.0,0,165,0.0,0.024582839078447025,-100
"(38080, 38232)",0.0,0,240,0.0,0.03242654785309441,-100
"(38651, 38611)",0.0,0,266,0.0,0.024985415501674005,-100
"(1259, 1261)",0.0,0,0,0.0,0.015258698535195715,-100
"(1101, 17794)",0.0,0,0,0.0,0.015258698535195715,-100
"(16274, 16275)",0.0,0,0,0.0,0.015258698535195715,-100
"(38549, 38756)",0.0,0,120,0.0,0.024588401270789272,-6
"(15404, 6297)",0.0,0,1,0.0,0.016021633461955502,-100
"(8409, 8671)",0.0,0,80,0.0,0.02959598216498256,-4
"(46720, 46724)",0.0,0,0,0.0,0.015258698535195715,-100
"(25927, 25940)",0.0,0,5,0.0,0.019149666661670624,-100
"(21736, 21737)",0.0,0,0,0.0,0.016021633461955502,-100
"(2386, 2394)",0.0,0,0,0.0,0.01609792695463148,-100
"(6177, 6188)",0.0,0,0,0.0,0.015258698535195715,-100
"(38517, 38873)",0.13043478260869565,3,168,1.1193657623976687,0.03911385079929502,-2
"(38542, 38584)",0.02857142857142857,1,315,0.36926937306885504,0.019589956407903696,-100
"(18058, 18059)",0.0,0,0,0.0,0.015258698535195715,-100
"(9521, 46101)",0.0,0,1,0.0,0.016021633461955502,-100
"(2187, 8552)",0.0,0,12,0.0,0.023223608266193144,-100
"(8596, 22216)",0.0,0,0,0.0,0.01961086577634459,-100
"(38588, 38763)",0.041666666666666664,1,156,0.3284587387530511,0.03264447739969346,-2
"(4159, 8521)",0.0,0,54,0.0,0.018801844628560837,-100
"(38063, 38285)",0.045454545454545456,1,126,0.35295612386476116,0.030546040653505607,-3
"(11504, 38254)",0.0,0,40,0.0,0.02367767148265144,-100
"(38213, 38233)",0.03125,1,266,0.45511961331341866,0.041284760290563036,-100
"(627, 629)",0.0,0,0,0.0,0.015258698535195715,-100
"(37996, 38836)",0.0,0,91,0.0,0.0327662347797443,-100
"(38632, 38833)",0.0,0,117,0.0,0.03967346874840147,-3
"(8416, 8551)",0.1,2,96,0.750545005473521,0.0269667509147114,-2
"(38552, 38838)",0.0,0,224,0.0,0.030757987661135168,-3
"(5874, 9713)",0.0,0,0,0.0,0.015258698535195715,-100
"(49826, 49828)",0.0,0,0,0.0,0.015258698535195715,-100
"(1808, 23911)",0.0,0,1,0.0,0.016021633461955502,-100
"(38029, 38091)",0.034482758620689655,1,216,0.35295612386476116,0.020538103095940525,-100
"(30926, 34272)",0.0,0,3,0.0,0.016021633461955502,-100
"(38115, 38013)",0.07142857142857142,2,224,0.7631033646040855,0.023436979925099494,-100
"(44676, 8646)",0.0,0,12,0.0,0.02724645263205795,-100
"(16673, 38632)",0.0,0,9,0.0,0.018736418380981626,-100
"(23126, 38195)",0.0,0,11,0.0,0.020010544160734868,-100
"(34499, 38196)",0.0,0,24,0.0,0.026212833329472766,-100
"(38618, 51583)",0.0,0,45,0.0,0.02325459531074575,-100
"(38709, 31948)",0.0,0,0,0.0,0.032185675952984466,-100
"(38544, 23096)",0.0,0,0,0.0,0.015258698535195715,-100
"(20058, 24645)",0.0,0,0,0.0,0.015258698535195715,-100
"(38131, 38181)",0.038461538461538464,1,180,0.3898712452512801,0.029180846642682626,-2
"(38547, 38875)",0.0,0,270,0.0,0.04454122221746776,-3
"(42335, 42336)",0.0,0,0,0.0,0.016021633461955502,-100
"(38230, 38283)",0.0,0,120,0.0,0.038152452358823925,-3
"(4883, 8571)",0.0,0,9,0.0,0.021931062544147627,-100
"(38199, 38212)",0.03571428571428571,1,204,0.3459762562611936,0.04755678804396667,-100
"(43466, 33938)",0.0,0,2,0.0,0.01678456838871529,-100
"(8582, 8667)",0.0,0,84,0.0,0.03415956439634852,-100
"(27406, 38143)",0.0,0,16,0.0,0.023413478813306954,-100
"(38116, 38305)",0.0,0,88,0.0,0.03452255364446643,-4
"(11944, 41372)",0.0,0,1,0.0,0.016021633461955502,-100
"(36199, 38138)",0.0,0,13,0.0,0.02020249443794163,-100
"(38051, 8433)",0.0,0,144,0.0,0.01857136198718671,-100
"(38114, 38844)",0.0,0,156,0.0,0.032766981082689654,-100
"(38742, 39026)",0.05263157894736842,1,99,0.35295612386476116,0.0396663953803324,-100
"(8683, 9608)",0.0,0,0,0.0,0.015258698535195715,-100
"(6142, 38874)",0.0,0,30,0.0,0.03561531556339248,-100
"(38573, 38642)",0.0,0,68,0.0,0.02047644979045462,-3
"(756, 38175)",0.0,0,18,0.0,0.02280432140133494,-100
"(38074, 38169)",0.03125,1,252,0.4170323914242463,0.0340624854587518,-4
"(52650, 52651)",0.0,0,0,0.0,0.015258698535195715,-100
"(8293, 52049)",0.0,0,3,0.0,0.016021633461955502,-100
"(38014, 38295)",0.05,1,110,0.43429448190325176,0.02872196810902864,-2
"(38759, 38548)",0.03333333333333333,1,238,0.36067376022224085,0.03431156828579465,-100
"(38064, 38179)",0.058823529411764705,2,320,0.7002970321173494,0.036409983227302295,-3
"(38587, 38719)",0.05555555555555555,1,84,0.3898712452512801,0.023439912509629672,-100
"(8443, 8554)",0.1,2,120,0.7481925547588062,0.024748495093318286,-2
"(26334, 52643)",0.0,0,2,0.0,0.01678456838871529,-100
"(38536, 38794)",0.0,0,221,0.0,0.03669630239043503,-4
"(38001, 38850)",0.0,0,120,0.0,0.0346623365447111,-100
"(38062, 35064)",0.0,0,15,0.0,0.02274278834965219,-100
"(38158, 38205)",0.0,0,132,0.0,0.026950999535688552,-3
"(6582, 18364)",0.0,0,0,0.0,0.015258698535195715,-100
"(43107, 38305)",0.0,0,16,0.0,0.030795586009847806,-100
"(8529, 49001)",0.0,0,16,0.0,0.022413480916171038,-100
"(8541, 32986)",0.0,0,10,0.0,0.021043576323859114,-100
"(27386, 27392)",0.0,0,6,0.0,0.015258698535195715,-100
"(10488, 23096)",0.0,0,0,0.0,0.015258698535195715,-100
"(35925, 38695)",0.0,0,20,0.0,0.021373165341363035,-100
"(38564, 38708)",0.0,0,169,0.0,0.022803226810966165,-100
"(7282, 7284)",0.0,0,0,0.0,0.016021633461955502,-100
"(38522, 38694)",0.09523809523809523,2,130,0.7073819204430023,0.02264885364236368,-5
"(20800, 42769)",0.0,0,1,0.0,0.016021633461955502,-100
"(3576, 13143)",0.0,0,0,0.0,0.015258698535195715,-100
"(32499, 35156)",0.0,0,0,0.0,0.015258698535195715,-100
"(2423, 48461)",0.0,0,2,0.0,0.01609792695463148,-100
"(7724, 7728)",0.0,0,2,0.0,0.015258698535195715,-100
"(13347, 10908)",0.0,0,10,0.0,0.01678456838871529,-100
"(8410, 3172)",0.0,0,18,0.0,0.016021633461955502,-100
"(3033, 38935)",0.0,0,0,0.0,0.015258698535195715,-100
"(38080, 14609)",0.0,0,15,0.0,0.022825809097338366,-100
"(37989, 38185)",0.0,0,110,0.0,0.023716454684564035,-3
"(41767, 45612)",0.0,0,0,0.0,0.016021633461955502,-100
"(38011, 12855)",0.0,0,12,0.0,0.016021633461955502,-100
"(38518, 38280)",0.0,0,196,0.0,0.03827563585498661,-100
"(38262, 33714)",0.0,0,12,0.0,0.030000186393798613,-100
"(38587, 38651)",0.0,0,168,0.0,0.026617333310013185,-100
"(43673, 38274)",0.0,0,10,0.0,0.024799290652247265,-100
"(28618, 38667)",0.0,0,13,0.0,0.02407227493834916,-100
"(12899, 50276)",0.0,0,0,0.0,0.015258698535195715,-100
"(43587, 8618)",0.0,0,6,0.0,0.021483898853405993,-100
"(17091, 17109)",0.5,1,2,0.7213475204444817,0.01678456838871529,-100
"(48618, 48619)",0.0,0,0,0.0,0.015258698535195715,-100
"(23488, 23491)",0.0,0,0,0.0,0.015258698535195715,-100
"(30702, 30706)",0.0,0,0,0.0,0.015258698535195715,-100
"(1070, 27270)",0.0,0,0,0.0,0.015258698535195715,-100
"(45523, 38032)",0.0,0,14,0.0,0.020484802783500247,-100
"(38044, 14731)",0.0,0,45,0.0,0.01902393498574061,-100
"(8420, 8513)",0.0,0,110,0.0,0.01900724602835692,-4
"(2012, 24393)",0.0,0,0,0.0,0.016021633461955502,-100
"(5614, 8569)",0.0,0,54,0.0,0.01963327528847327,-5
"(39358, 39360)",0.5,1,2,1.4426950408889634,0.016860861881391263,-2
"(38777, 6456)",0.0,0,14,0.0,0.030524278796836248,-100
"(38765, 17101)",0.0,0,35,0.0,0.0232168622506131,-100
"(38056, 38236)",0.07692307692307693,2,195,0.7813527860717959,0.033126218201579065,-2
"(38723, 38770)",0.0,0,80,0.0,0.03144390339914599,-100
"(998, 47599)",0.0,0,0,0.0,0.015258698535195715,-100
"(14696, 33541)",0.0,0,4,0.0,0.01788395761817614,-100
"(38179, 38261)",0.0,0,176,0.0,0.043158806072187514,-3
"(38052, 38171)",0.0,0,110,0.0,0.019806379615783354,-4
"(51108, 27419)",0.0,0,0,0.0,0.01777638379350301,-100
"(3831, 3836)",0.0,0,0,0.0,0.015258698535195715,-100
"(10693, 38181)",0.03333333333333333,1,240,0.3284587387530511,0.02559264924952169,-4
"(38235, 8659)",0.0,0,152,0.0,0.04375962849637817,-100
"(4696, 38664)",0.0,0,32,0.0,0.019647863168844763,-100
"(38161, 8488)",0.0,0,88,0.0,0.02352676334323517,-100
"(38087, 8658)",0.0,0,112,0.0,0.03423193102480972,-100
"(8443, 8608)",0.0,0,80,0.0,0.020360825857901783,-3
"(38720, 38538)",0.0,0,182,0.0,0.022041195946835894,-100
"(24320, 24324)",0.0,0,0,0.0,0.015258698535195715,-100
"(10218, 13903)",0.0,0,0,0.0,0.016021633461955502,-100
"(11823, 43823)",0.0,0,0,0.0,0.015258698535195715,-100
"(38085, 19215)",0.0,0,7,0.0,0.018879299308195346,-100
"(38532, 38685)",0.0,0,130,0.0,0.020728061922254713,-100
"(1050, 19850)",0.0,0,0,0.0,0.015258698535195715,-100
"(38623, 38754)",0.027777777777777776,1,340,0.36926937306885504,0.03940519044808394,-3
"(38595, 38632)",0.058823529411764705,1,81,0.3789231816899512,0.01965194029309337,-100
"(32446, 21678)",0.0,0,0,0.0,0.016021633461955502,-100
"(38052, 38180)",0.0,0,190,0.0,0.029531322201614432,-3
"(38655, 25334)",0.0,0,0,0.0,0.019398073696214047,-100
"(923, 3084)",0.0,0,2,0.0,0.016021633461955502,-100
"(16865, 22836)",0.0,0,0,0.0,0.016021633461955502,-100
"(38057, 38293)",0.0,0,90,0.0,0.033377889872820844,-3
"(31717, 38841)",0.0,0,16,0.0,0.03769028378273853,-100
